no,구분,전공,본문
1064,post,교양,동영상강의가 수준별이어서  목표점수를 위해 본인보다 살짝 더 놓은 수준이었으면 더 좋았을것 같아요  모의시험은 리딩은 시간제한이 없어서 헷갈렸어요 그래도 듣기는 도움되었어요  전반적으로 듣기와 리딩 각각 다른 시험에서 따로따로 점수 올려서 만족은 합니다 감사합니다
1065,post,교양,"많은 학생들에게 이 강의를 수강하는 것을 적극추천합니다. 많은 수업내용 정리와 암기,복습을 요구하지 않으며, 적극적인 자세로 강의를 듣기만 한다면 누구나 쉽게 높은 성적을 받을것입니다."
1066,post,교양,많은 힐링이 됐습니다.
1067,post,교양,많은 힘듬 사람이 있다는 것을 깨달았고 그 사람들을 돕고 싶다는 마음 가짐을 가지게 되었습니다
1068,post,교양,"말하기 테스트를 한 후, 영어로 질문을 주시는데 그 질문들이 학생에게 관심을 잘 주시는거 같아서 마음이 따듯했다. 군대를 간다고 말씀드리자 진심으로 공감해주셨고 시험전에 대기하면서도 말을 많이 걸어주셔서 긴장감도 줄어들게 만들어주신 점들이 너무 좋았습니다."
1069,post,교양,맡은 파트를 어떻게 불러야하는지 알려주었으면 좋겠습니다. 감사합니다.
1070,post,교양,매주 과제가 있어 힘들었지만 중간고사나 기말고사를 하면서 스스로 과제했던 것을 보면서 나 자신에 대해 많은 것을 찾고 알아갈 수 있었다는 것을 깨달았습니다. 단순한 과제를 넘어 미래에 대한 길을 잃었을 때마다 읽어보면서 길을 다시 개척해나 갈 것 같습니다. 좋은 강의 해주셔서 감사합니다.
1071,post,교양,매주 동영상과 피피티를 올려주시고 시험시간을 놓쳤는데 전화로 직접 알려주시고 매우 잘 가르쳐주셨습니다 감사합니다
1072,post,교양,"메일 확인 안 하고 과제도 제대로 확인 안 해주시고 책 하나로 수업한다 공지하신 것도 말 바꾸고 강의를 수강하는 학생들에게 시켜서 올리게 하고, 과제 확인도 학생들에게 시킴. 과제를 냈는데 안 냈다고 점수 깎아서 몇 번이고 말해야 함"
1073,post,교양,모르는 한자 많이 알았다 더 어려운 한자 또 알았으면 좋겠다 감사드린다
1074,post,교양,문의 메일을 보냈지만 피드백이 돌아오지 않은 점이 아쉽다. 온라인 과제 사이트 자체의 시스템 오류로 다수의 학생이 피해를 보았는데 이에 적절한 대응을 해주셨서 좋았다
1075,post,교양,"뭣 모르고 ""성서의 이해"" 수강 신청해 놓고 처음 수업 듣고 당황했던 기억이 납니다. 생소한 단어와 또 단어를 해석 해야하고 이렇게 어려운 공부를 어떻게 하지 하며 걱정이 앞섰습니다.  그런데 차츰 차츰 교수님 수업내용 듣고 또, 책 읽고 과제를 열심히 했더니 어느정도 이해가 되었습니다. 기독교는 사회 전반적으로 이미지가 좋지 못하여 관심 밖이었는데 이렇게 학문적으로 다가가니 하나님의 존재를 알게되었습니다. 무식한 저에게 조금이나마 믿음을 가질수 있게 인도하여 주셨습니다.  교수님의 열의에 감사드립니다.^^"
1076,post,교양,미래에 대해 조금도 생각할 ㄱ회가 생겼다고 생각한다
1077,post,교양,백점만점을 받아도 점수의 체점 방식을 공개하지않는다
1078,post,교양,보충강의와 자료가 많아서 차라리 본 강의에 이 내용을 추가해주시면 좋을 것 같다.
1079,post,교양,"비대면강의로 대체되면서 교수님도 적응하기 힘드셨을거란걸 이해하지만 출석퀴즈로 출제되던 출석퀴즈가 3주차부터 갑자기 이전 제출된 퀴즈 포함 채점이후 점수형식으로 적용된다고 하셨던 것, 매 주 조금만 신경써주셨어도 오류없이 원활하게 진행되었을 퀴즈나 공지사항 등 너무 이 과목에 대해 신경안쓰시는게 느겨졌습니다. 개인적으로 무교지만 어차피 필수과목으로 진행되는 과목이기에 이해를 해보려고 했지만 이번 과목을 수강 이후 기독교에 대해 더 멀게 느껴집니다"
1080,post,교양,빠진적 없는 보강수업을 수업시간도 아닌 금요일 오전 9시반에 하는건 아닌거 같습니다. 학생들 질문에 대답을 안해주신적도 많고 학교에서 만나지말라고 비대면 수업을 하는것인데 이미 제출한 과제를 프린트해서 가지고 와라 만나서 사진찍기해라 는 정말 아닌것 같습니다. 종강하고 책을 사야하는 어이없는 일도 많았습니다. 그래도 한학기동안 고생많으셨습니다.
1081,post,교양,사실 문학관련 교양수업을 처음 듣는거라 조금 난해할까봐 걱정되었는데 수업을 들으며 체계적으로 문학에 대해서 많이 배우게 되었습니다. 코로나 사태로 인해 온라인 수업으로 전환되었지만 수업을 듣는데 애로사항이 없었습니다. 진행이 깔끔하고 시간도 매우 잘 준수되었습니다.
1082,post,교양,사회복지라는 분야에 대해 많은 것을 알아갈 수 있어서 좋았지만 온라인을 통한 시험이나 과제에 대한 제대로 된 공지가 없을 때가 있어 혼란스러울 때가 있었습니다.
1083,post,교양,사회학이 매우 어렵운 과목인데 이해하기 쉽게 예를들어 설명해주셨다.
1084,post,교양,삼사합니다
1085,post,교양,새로운 세계를 안 거 같았다 법이란 유튜브를 통해 과제를 통해 많이 알았다 감사드린다
1086,post,교양,생각보다 중간고사가 매우 까다로웠지만 교수님은 너무 좋으셨습니다. 질문에 대답도 잘해주셔서 너무 좋았습니다.
1087,post,교양,서양음악에 대해서 알 수 있는 좋은 시간이었습니다! 살짝 어려운 부분도 있었지만 결국 음악에 대한 지식을 얻기에 좋았습니다!
1088,post,교양,설명을 자세히 해주셔서 수업을 들으며 잘 이해할 수 있었습니다.
1089,post,교양,설명을 차근차근 잘 해주셨어요
1090,post,교양,성서와 이해에 대한 수업내용이 알찼던 시간이었습니다.
1091,post,교양,수어라는게 손으로 사용하는 언어인데 중간부터 피드백이 이루어지지않고 점수로만 채점이 되어 그 부분에서 당혹스러웠습니다. 배우면서도 이게 맞는 동작인가?라는 의문이 들어 점점 흥미를 잃었고 아쉬웠습니다.   다음에도 비대면 수업으로 이루어진다면 피드백을 해주시면 더욱 수업집중도나 정확한 표현을 할 수 있을 것 같습니다.
1092,post,교양,수업 영상도 예전에 찍어놓으신거 틀린부분만 수정해서 올리시고 설명도 이해할수있도록 해주시는 것이 아니라 방법만 알려주는 방식으로 진행하셔서 수업을 이해하고 따라오기 힘들었습니다.
1093,post,교양,수업 자체가 온라인으로 진행하기 어려운 수업이었던 것 같았습니다. 하지만 교수님께서 꾸준히 피드백을 주신 덕분에 잘 마무리할 수 있었던 것 같습니다. 감사합니다!
1094,post,교양,수업 중간 중간 직접 학생이 체험해볼 수 있는 테스트 등이 있어 수업을 듣는 데에 지루하지 않고 재밌었다.
1095,post,교양,수업 퀄리도 좋았고 매우 만족했습니다.
1096,post,교양,"수업, 출석 과제, 시험 등에 관하여 공지를 제대로 해주지 않으셔서 수업을 참가하는 데 어려움을 겪었습니다."
1097,post,교양,수업에 대한 여러가지 자료를 준비해주셔서 수월히 과제를 따라갈수 있었습니다  내용이 방대했는데 수업에서 요약정리해 주셔서 또한 좋았구요  열심히 수업해주셔서 감사합니다?
1098,post,교양,"수업에 있어서 교수님의 꼼꼼함과 수강하는 학생들에게 하나라도 더 배워갈 수 있도록 지도해 주시는 마음이 전달되었습니다. 뜻하지 않게 수업을 듣게 되었는데 과제하면서 교양과목을 잘 선택을 했다는 생각이 들었습니다.  그리고, 수업도중 질문과 답변에서도 학생들이 이해할 수 있도록 그때그때 접목해서 진행이 되어 어려운 과목인데도 재미 있었습니다. 감사드립니다.^^  건강하시길 바랍니다."
1099,post,교양,"수업으로 얻을 수 있는 유용한 지식이 많았으며, 도서 추천과 수업 외 자료 등으로 추가적인 학습을 할 수 있도록 한 점이 좋았음."
1100,post,교양,수업은 적절하게 구성되었으며 교수님의 열정이 느껴지는 수업이었습니다. 감사합니다.
1101,post,교양,수업의 질은 전반적으로 만족스러웠다.
1102,post,교양,"수업이 온라인으로 진행되다 보니 일어난 문제라고 생각합니다 . 이에 대해선 이해할 수 있는 부분이지만 그래도 말씀 드리겠습니다.   수업과 관련없는 내용이 영상의 40% 인 것처럼 느껴졌습니다 그리고 서론부분에서도 이런 관련 없는 내용이 좀 길었습니다.   영상의 해당 시간을 채우려고 일부러 말 많이 하시는 것 같아서 수업 듣는데 약간 혼란이 있었습니다.   음성에도 수업 내용 외의 다양한 잡음, 잘못된 발음 등이 많아서 수업 듣는데 불편하였습니다."
1103,post,교양,수화라는 것을 처음 접하는 학생들이 많아서 항상 줌으로 수업시간에 맞게 열심히 수업해주셔서 좋았습니다. 어려운 문장이나 단어는 다시 천천히 복습해주셔서 이해와 복습하기 쉬웠습니다.
1104,post,교양,수화를 배울 수 있어서 좋았습니다! 다른 학생들도 꼭 들었으면 좋겠어요 :)
1105,post,교양,"숙제가 너무 많았지만, ybm 사이트에서 공부하는데 더욱 더 도움된 강의였습니다~"
1106,post,교양,쉬운 사례를 알려주셔서 이해가 더욱이 잘 되었습니다 좋은 말씀해주셔서 항상 감사해요
1107,post,교양,시간준수 미비
1108,post,교양,시험에 대해 가장 공정했던 것 같아서 정말 좋았다
1109,post,교양,실생활에서 무심결 지나쳐벼린 것들에 대해서 자세히 알게되어서 신기하고 재밌었습니다~!
1110,post,교양,심리가 처음이라 이해하기 어려웠는데 쉽게 일상을 적용하여 설명해주셔서 내용이해가 잘되었고 숙지도 잘 되었습니다.
1111,post,교양,심리에 대한 이해를 쉽고 빠르게 잘해주셨음
1112,post,교양,심리에 대해 많은 정보를 알 수 있었습니다. 교양과목인데도 강의의 질이 높아서 흥미롭게 들었습니다. 감사합니다!
1113,post,교양,심화학습을 통해 강의에 대한 이해도를 높일 수 있던 점이 좋았습니다
1114,post,교양,싸이버 상의로 수업이 전환되면서 대면수업의 숫자가 줄어 그만큼 배울 수 있는 기회가 줄어서 아쉬웠다.
1115,post,교양,어떻게 하면 효율적이고 좋은 수업을 할 수 있을지 다양한 (온라인) 수업 방법을 시도해주신 점이 좋았습니다
1116,post,교양,어려운 과목은 아니었지만  매주 비슷한 내용의 수업이라서 진부하였다
1117,post,교양,어려운 시기임에도 좋은 수업 들려주셔서 감사합니다.
1118,post,교양,어려운 시기임에도 참여하며 의견을 교류하는 수업방식은 정말 최고였습니다.
1119,post,교양,어려운 컴퓨터를 교수님 덕분에 공부하는게 즐거웠습니다. 같이 해주시는 영상을 올려주셔서 공부하기 좋았습니다.
1120,post,교양,"어렵게 출제되는 성적반영퀴즈와 시험을 좋아하거나, 높은 변별력을 원하는 학생이라면 이 수업을 추천합니다. 단, 수업이 진행되어가면서 점점 더 많은 내용들이 쌓이므로, 꼼꼼하게 수업내용을 정리하시고 전 범위 복습 철저히 면 성적에 많은 도움이 될것입니다."
1121,post,교양,"영알못인데 (영어 잘 못하는데) 설명을 잘해주셔서 좋았어요! 근데, 이번에 영어 잘하는 사람이 많아서 꽤나 힘들었네요 미리 성적 알려주시는 것도 교수님이 유일했어서 감사했어요! :>"
1122,post,교양,영어에 대한 기초적인 것듯을 숙제나 강의를 통하 알려주셔서 좋았음
1123,post,교양,"영어특강 화요일을 수강한 학생입니다. 교수님께서.. 많이 꼼꼼하셔서.. 솔직히 말씀드리면.. 신경써야 할 부분이 많았던 수업이었습니다. 그럼에도 불구하고 한 학기가 끝나고나니, 토익 시험에 대한 불안이 많이 사라졌습니다. 감사합니다!! 교수님과 강의 덕분입니다."
1124,post,교양,온라인 강의라는 한계가 있었음에도 유익한 수업이었습니다.
1125,post,교양,온라인 수업 시 출석 방식의 개선. 전 과제가 부족했지만 매일 아침 출석을 빠지지 않고 참여했습니다.
1126,post,교양,온라인수업 신청간에 교수님이 누군지 미리 알수있으면 좋을거같네요. 이번에 수업들으며 이 교수님수업을 또 듣고싶어질만큼 흥미로웠고 열정적이셨습니다.
1127,post,교양,온라인으로 수업을 진행하다보니 악보를 아예 못읽는 학생들은 과제를 따라하기 어렵다는 생각을 하였습니다. 악보를 조금이라도 볼 줄 아는 저도 막히는 부분이 있는데 조금 더 수업이 원활하게 진행되기 위해선 조금 더 접근하기 쉬운 방법으로 내주셨으면 합니다!!
1128,post,교양,온라인으로 시행했던 중간고사에서 시험시간 중에 시간이 연장이 됐었는데 시간 안에 문제를 푼 학생들에게 이 문제는 형평성에 어긋나기 때문에 고려해주셨으면 좋겠습니다.
1129,post,교양,원어민 교수님과 수업을 하게 되어서 귀가 트이고 말이 잘 나오게 된것 같아서 참 좋았어요.
1130,post,교양,유익했습니다. 감사합니다 교수님.
1131,post,교양,음악을 하는 사람들에게 한번쯤은 꼭 들어야할 많은 내용이 있어서 너무 좋았습니다!
1132,post,교양,음악학과가 아닌 학생들에 대한 배려가 좋으셨다.
1133,post,교양,이 수업을 통해서 글쓰기에 대한 많은 것을 알아갈 수 있었고 하지 못했던 다양한 분야의 글쓰기를 직접 해보니 실력을 향상시킬 수 있는 좋은 기회가 되었습니다.
1134,post,교양,이런 교수님만 있다면 온라인 강의여도 학생들이 불만을 가지지 못할 듯 합니다.  훌륭한 수업이었습니다. 한 학기동안 감사드립니다!
1135,post,교양,이번 학기 들었던 강의 중에서 가장 듣길 잘했다고 생각하는 강의입니다. 적절한 예시등으로 수업을 진행해주셔서 항상 건너뛰기나 배속 없이 몰입해서 들었습니다. 매번 톡방에 공지를 올려주셔서 빠지지 않고 수업에 적극적으로 참여할 수 있었습니다. 코로나19로 인해 대면강의를 하지 못한 것이 너무 아쉽지만 영상으로나마 교수님 강의를 들을 수 있어서 좋았습니다. 감사합니다.  P.S. 아마 A+를 받을 것 같아 재수강도 못한다는 것이 아쉽습니다.ㅠ
1136,post,교양,이번학기 가장 흥미롭고 재미있게 들었던 수업이었습니다. 다양한 내용들과 흥미로운 주제들 그리고 직접 참여하는 방법을 통해 재밌는 수업 들을 수 있었습니다. 감사합니다!
1137,post,교양,이번학기는 비대면 수업이기때문에 학생들에게 많이 힘들었던 학기였다   하지만 동서시의 이해 교수님은 학생들을 많이 배려해주시고 학생들 먼저 생각하는것이 보여 너무 감사하다  또한 수업도 너무 재미있고 설명도 잘해주셔서 너무 좋았다
1138,post,교양,"인터넷 강의로 진행되어 조금은 지루하지 않을까 걱정도 돼었는데, 교수님이 너무 진행을 잘해주셔서 지루하지 않고 오히려 즐거웠씁니다. 감사합니다"
1139,post,교양,인터넷강의인 상황에서 최선을 다하신것 같다
1140,post,교양,일단 마음에 안드는 점은 기말고사 한번을 하기위해 책을 사라고 하는게 제일 말이 안된다고 생각한다 책값이 껌값도 아니고 무작정 사라고 하시고 안사면 점수 채점을 안해주신다고 하셨다. 그거부터 별로이고 수업이 월요일인데 금요일에 줌수업을 하시고 참여를 하지 않은 학생들의 점수를 적게 주신다고 하셨다. 그부분에서도 좀 어이가 없었다. 불만이 차고 넘치지만 다 쓰기엔 시간이 없어 이정도만 쓴다. 좀 학생의 말ㅇ 귀를 기울이고 받아주셨으면 좋겠다.
1141,post,교양,자기소개서를 첨삭해주신 부분이 인상깊었습니다. 감사합니다.
1142,post,교양,자신의 책을 팔고자 성적 기준이 안바뀌었으면 좋겠다
1143,post,교양,자신의 편리를 위해서 혼자서 실강 안했으면 좋겠고 코로나19로 대면강의 불가인데 왜 계속 공원같은데서 만나서 수업하자는지 모르겠음 제발 그러지 마셈.
1144,post,교양,잘 정리된 강의자료와 적절한 과제로 인해 공부하며 배운게 많이 기억에 남습니다.  이후에 더욱 이 과목에 흥미를 가지게 되었습니다.  그래서 더욱 감사드립니다 !!
1145,post,교양,장학금과 교내 프로그램에 대한 설명이 더 많았으면 좋겠습니다
1146,post,교양,"저는 개인적으로 이 수업의 과제가 어려운 편이었어서, 엑셀에 대하여 공부를 이미 하셨거나, 컴활2급시험에 관심이 있으신 분들이 주로 이 강의를 수강하셨으면 좋겠습니다.   엑셀 공부를 해본 적이 없다면  시험이 어려울 수도 있겠습니다. 수업의 질이 만족스럽다고 느꼈습니다."
1147,post,교양,저도 기독교인이지만 기독교 역사와 인물에 대해 몰랐던 점이 많았는데 자세히 알려주셔서 좋았습니다.
1148,post,교양,저희 학교의 English University의 교과와 Oxford learn 수업에 대하여  많은 흥미와 영어에대한 자신감과 실력향상을 키워준다고 생각하게되었습니담  개선되었으면 하는 점은  교수님의 영상강의 화면속에 교재가 너무 작게 녹화되어서  더 자세히 보게되었지만   화면속에 교재가 너무작아 교재 영어글씨가 너무 작은것 같습니담  빨리 코로나가 종식되어서 대면수업으로 대학교 수업을 받고싶슴니담^-^
1149,post,교양,적극적으로 질문을 받아주시고 자세하고 다양한 방법으로 반복설명해주셔서 이해하기 정말 좋았습니다.
1150,post,교양,전반적인 영상의 질이 떨어진다.
1151,post,교양,전반적인 철학에 대한 시각들을 종합적으로 훑어볼 수 있다는 점에서 매우 유용했습니다. 코로나 사태로 온라인 수업으로 전환되었으나 애로사항은 없었습니다. 진행이 깔끔하고 시간도 매우 잘 준수되었습니다.
1152,post,교양,"전빈적인 수업의 대한 내용과 강의는 매우 만족하였으나 처음 실시된 온라인 강의로 인해 중간, 기말 시험에 대한 공지 및 평가 기한에 대한 부분이 미흡했던 것 같다"
1153,post,교양,절대평가인데 가산점 좀 주심이
1154,post,교양,점수 마음대로 주심 ㅎㅎ
1155,post,교양,정말 스트레스 안받고 수업듣는게 너무 좋았습니다. 출석과제도 수업만 들으면 다 가능했던 거라서 좋았고 다음번에도 교수님 수업을 듣고 싶습니다.
1156,post,교양,"정확한 강의시간 준수와 적절한 강의 내용이 참 좋았고, 동영상 또한 원래 해당 강의가 사이버 동영상이 사전제작 되었나 싶을 정도로 강의의 질이 완벽한 강의 내용이었습니다."
1157,post,교양,제 학과에 이렇게 많은 진로가 있고 설계를 어떻게 하면 잘 할 수 있게 되는지 잘 알게 되었습니다. 도움이 많이 되었습니다.감사합니다.
1158,post,교양,제가 들은 수업 중 유일하게 얼굴이 안나오셨습니다. 피피티영상에 목소리만 녹음하면 집중력이 당연히 떨어지지 않을까요??
1159,post,교양,제발 성적에 영향이 있게 하여서 교재를 강제로 구매할 수 밖에 없게 만드는 구조를 없애시고 딱 봐도 몇년째 똑같은 패턴 똑같은 내용의 수업을 하는 듯한 느낌좀 안들게 하주시고 학생들의 의견을 무시하지 말아주세요.
1160,post,교양,제발 수업 좀 해주세요. 돈이 너무 아까워요.
1161,post,교양,졸업생 선배님들과의 만남 수업이 유용해서 좋았습니다!
1162,post,교양,좋은 강의 너무 감사합니다! 이번 강의로 미술을 하는 친구들과 얘길 할 수 있게 되었습니다. 감사합니다:)
1163,post,교양,좋은 말도 세번 이상 들으면 더 이상 좋은 말로 받아드려지지 않습니다. 그리고 너무 교수랑은 위치에서 학생들을 내려다보는 태도를 가지고 계시다는거를 아셨으면 좋겠습니다. 그리고 학생들이랑 밀당?하지 마세요 전혀 재미있지 않습니다
1164,post,교양,좋은수업이었습니다 교수님 감사합니다~
1165,post,교양,"중간,기말시험과 과제에 대하여 명확하게 공지를 해주셨으면 좋겠습니다. 코로나 사태로 인하여 수업이 주로 카톡으로 진행되었지만, 이것이 수업과 관련된 공지를 제대로 하느냐 하지 않느냐에 영향을 주는것은 아니라고 생각합니다. 또한 교수님께서 공지뿐만이 아니라 평소 수업에서 학생들이 이해하기 힘들고 혼란스러울만한 말씀을 카톡으로 전달하시는 경향이 있으십니다. 모든 수업 말씀과 공지는 학생들이 이해하기 쉽게 한번에 제대로 알려주시는것이 교수님과 학생들 간의 원할한 의사소통에 도움이 될것이라고 생각합니다."
1166,post,교양,중간고사 대체과제 및 토의과제를 피드백해주신 부분이 인상깊었습니다. 한 학기동안 애쓰셨습니다. 감사합니다!
1167,post,교양,중간고사를 기말고사 전주에 보았다. 즉 우리는 이주동안 연달아 시험을 보았다. 솔직히 교수님이 아프셔서 수업 못한것도 5월5일에 보강도 다 하셔서 오월에도 충분히 중간고사 볼수 있었다고 본다. 그리고 공지사항을 약속한 시간에 안올려주신다. 항상 2~3일 늦게 올려주신다. 심지어 기말고사 공지도 화요일에 올려주셔야 하는데 토요일에 올려주셨다. 학생들과 한 약속을 잘 안지키신다. 당장 다음주가 시험인데 기말고사 시험 공지를 약속 시간에 안올려 주시면 학생들은 정말 힘들다. 또한 이번학기에는 코로나 예방으로 비대면 수업을 했다. 하지만 교수님은 학교 근처나 학교운동장에서 수업하자고 하셨다. 학교도 위험한다 학교밖은 더 위험하다고 생각한다
1168,post,교양,"중간에 출결과제가 어려워져서 힘들긴 했으나, 전반적으로 쉽게 잘 설명해주셔서 좋았어요 :) 사정 배려해주시고 도우미 관련해서도 교수님이 직접 소통해주시기도 하고, 이번학기에도 또 감사했습니다. 즐거운 방학 되세요 :)"
1169,post,교양,지식에 도움이 많이 되는 유익한 수업이었습니다.
1170,post,교양,진짜 친절하시고 3학년 다시면서 가장 좋은 교수님 이셨습니다.
1171,post,교양,차라리 이름있는 인강사이트의 강의를 활용했으면 좋았을 것 같다. 또한 학생들의 피드백에 처리하시는 능력이 떨어지시는 것 같아 불편했다.
1172,post,교양,처음 진행했던 온라인 강의여서 조금 서툴어보이셨지만 그래도 전반적으로 좋았습니다.
1173,post,교양,처음듣는 수업이 온라인수업이라 더 그렇게 느껴지는지는 모르겠지만  1.타교수를 까내리며 본인의 위상을 높이려 하는 모습이 수업듣는 내내 불편했음  2.수업일정이 없는 날에 수업 일정을 잡음  3.수업 30분 전에 실시간 강의가 있다고 공지함  개선 부탁드립니다
1174,post,교양,"처음부터 자세히 배우고자 노력했습니다. 생각보다 글쓰기가 쉽지가 않았고, 알고 있었던 방식이 오류가 많았습니다. 교수님께서 꼼꼼하게 정성껏 가르쳐 주시여 감사드립니다. 그동안 수고하셨습니다."
1175,post,교양,처음으로 철학을 접하게 됐는데도 너무 잘 이끌어주셔서 재밌게 강의에 참여할 수 있었습니당
1176,post,교양,처음이라서 모르는 것이 많았는데 학교에 대한 것 뿐만이 아니라 미래 진로에 관해서 많은 것을 알 수 있어서 좋았습니다.
1177,post,교양,최고 그 자체
1178,post,교양,최악이였습니다
1179,post,교양,출결 퀴즈는 성적에 반영되지 않는다고 하셨는데 4주차에 퀴즈 점수를 성적에 반영하신다고 하셔서 당황하였다. 4주차 이후의 퀴즈 점수를 성적에 반영하셨으면 좋았을 것 같다.
1180,post,교양,출석과 과제물등을 바로바로 확인해주십니다
1181,post,교양,출석체크도 빠르게 해주시고 마지막에 시험에 대해서 복습도 해주시고 설명도 어렵지 않게 잘 해주셔서 좋았습니다. 학생들의 의견도 잘 들어주셨습니다.
1182,post,교양,출석퀴즈 문제를 자주 틀리게 내주시고 수업 내용 설명은 적고 사설이 길고 내용도 어렵고 듣기 힘들고 공부하기도 힘들었습니다.
1183,post,교양,컴퓨터 전공이 아닌 학생들에게 매주 너무 어려운 과제를 주셔서 부담이 되었습니다.
1184,post,교양,코로나로 인한 갑작스러운 온라인 비대면강의에도 불구하고 실시간강의 시간 항상 지켜주시며 진행해주셔서 감사합니다
1185,post,교양,코로나로 인한 갑작스러운 온라인 비대면강의에도 불구하고 항상 실시간 강의 최선을 다해주셔서 감사합니다
1186,post,교양,"코로나로 인해 원래 수강 신청했었던 교양이 취소되어 갑작스레 교양수학으로 옮겼는데, 교수님께서 이러한 학생들의 상황을 다 봐주셨어요. 너무 자애로우신 교수님이세요...! 수학을 원래 잘 못해서 매 시간 머리를 싸매며 고민했습니다ㅠㅠ 단순히 고등학교에서 배우던 수학이 아니라 여러 방면의 수학을 배울 수 있어 재밌었지만, 제 실력이 잘 따라가지 못한 것 같아요. 그 부분은 오히려 교수님께 죄송합니다.. 정말 열정적으로 수학을 가르쳐주셨고 재미있게 배웠어요!! 수학에 관심이 있다면 꼭 추천합니다."
1187,post,교양,코로나로인해 학교에서 합창을 하지 못해 아쉬웠지만 교수님께서 매주 반주와 악보를 올려주셔서 좋았습니다.
1188,post,교양,타학과 학생이 듣기에는 많이 어려운 과목이었던 것 같습니다. 특히 음악적인 것을 구분하는 것은 전혀 배운 적이 없기에 너무 어려웠습니다.
1189,post,교양,토론이 많이 안 이뤄져서 아쉬웠네요. 매번 과제하는 게 심도 있게 고민하게 되는 철학적 시간이었다고 생각돼서 좋았어요. 설명도 자세히 꼼꼼히 해주셔서 좋았습니다. 교육학에 좀 더 관심을 가지게 되는 계기가 됐어요.
1190,post,교양,평상시에 더 공부해서 기말 시험을 잘 쳤어야 하는 건데 아쉽다 영어 말고 불어를 배울 기회가 있어서 감사드린다
1191,post,교양,피드백으로 많이 성장하였습니다
1192,post,교양,피드백은 빨랐으나 과제에 있어 너무 갑작스럽게 알려주시는 경향이 있어서 힘들었습니다.
1193,post,교양,필요 이상의 출석 과제의 난이도 조절이 시급합니다.
1194,post,교양,학교 생활을 하기 위해 필요한 많은 지식을 알 수 있어서 좋았습니다.
1195,post,교양,학교에 대해서 배우기 보다는 전공 학과에 대해서 이해하고 연구할 수 있는 과목으로 변경되었으면 좋겠습니다.
1196,post,교양,학생들에게 조금 더 친절하게 대해 주셨으면 좋겠습니다.
1197,post,교양,학생들에게 종교를 강요하지 않고 부드럽게 다가가 좋았다. 하지만 시험을 볼때 약간의 공정성 논란이 제기되고 교재에 대한 공지가 늦은 점이 아쉽다.
1198,post,교양,"학생들의 피드백에 대한 즉각적이지 못한 대처, 본인의 실수를 인정하지 않음, 매 주마다 출석 퀴즈를 틀리게 냄, 과제 및 시험에 대한 수차례 번복, 메모장 켜 놓은 것 같은 PPT의 구성, 출석과제 난이도 조절을 위한 명분으로 진행된 돌려막기식의 PPT 미공개, 녹음 음질 불량 등을 개선하였으면 좋겠습니다."
1199,post,교양,학생들의 피드백을 잘 들어주시고 강의 자료와 설명이 좋았습니다
1200,post,교양,학생들한테 너무 친절하셔서 너무 좋았고 언제 문의해도 늦은시간에도 친절하셔서 감사했습니다!
1201,post,교양,"학생듷을 대하시는 교수님 태도가 달라졌으면 합니다. 짜증 섞인 어조, 비아냥거림이 수업 시 불편했습니다. 일례로 본격적인 내용 설명을 하기에 앞서 상식 질문을 많이 하시는데 원하는 대답이 나오지 않으면 짜증내셨고 이걸 모르냐며  화내셨습니다. 또한 ppt 수업에 대한 무조건적 비난 및 비판을 자제해주시면 좋겠습니다. 평소 다른 교수님들의 ppt 수업에 대해 비판하신 바 있습니다. 물론 zoom 수업에 비교하면 즉각성은 떨어집니다. 다시 말하면 소통이 시간적 측면에서 더딘 것은 분명합니다. 그렇지만 몇몇 교수님께서는 즉각적 답변을 주신 바 있습니다. 또 통계 수업 등 방대한 자료를 다루는 수업의 경우 반복적으로 볼 수 있는 ppt 수업이 효과적이었습니다."
1202,post,교양,한 학기 동안 너무 감사했습니다 교수님!:)♥
1203,post,교양,"한 학기동안 열심히 가르쳐주셔서 감사했습니다. 다만, 강의 출결 관리와 중간, 기말 시험 관리가 바로바로 학생들에게 알려지지 않은 점은 개선해주시면 감사하겠습니다."
1204,post,교양,한 학기동안 유익한 수업이었습니다.
1205,post,교양,항상 열정적인 강의에 즐겁게 공부할 수 있었습니다!
1206,post,교양,항상 좋은 자료와 경험에서 나오는 현실적인 조언 감사합니다.
1207,post,교양,"항상 지나치던 문제점과 사고 주제들을 짚어주신 덕분에 생각의 확장을 느낄 수 있었습니다. 또한 앞으로도 일상에 스며있는 문제점들을 인식하고 사고하며 고쳐나갈 수 있도록 노력하려 합니다. 뜻깊은 수업, 정말 감사합니다.♥"
1208,post,교양,해당 수업은 사고할 주제를 많이 제시해주어 확실히 수업의 질이 매우 좋았습니다. 다만 의도한 것인지는 모르겠지만 과제 횟수 등이 오프라인에서 정해진 것에서 크게 달라지지 않았다는 느낌이 들었습니다. 특히 고전 등을 다루는 수업 특성상 상당히 높은 사고를 요하는데 오프라인 수업으로 전환되면서 토론도 글쓰기로 전환되면서 상당히 부담이 많아졌습니다. 이러한 해당 수업의 특성이 고려된 수업 체계 개선이 필요하다고 생각합니다.
1209,post,교양,현강에서 만나면 정말 좋은 강의인데 그러지를 못해서 너무나도 아쉬운 강의였다.  그럼에도 1학기 동안 이끌어주시느라 고생 많으셨고 감사드린다.
